id,year,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation,tags
83,2024,Nasal stuffiness and epistaxis are classically seen in:,Borderline tuberculoid leprosy,Mid-borderline leprosy,Indeterminate leprosy,Lepromatous leprosy,D,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option D is correct. Lepromatous Leprosy (LL) is characterized by high bacterial load and diffuse involvement. It commonly affects the nasal mucosa, leading to chronic nasal discharge, stuffiness, crusting, and epistaxis (bleeding) [cite: 538, 539, 544].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **D (Lepromatous):** Results in symmetric lesions and extensive mucosal involvement, potentially leading to 'saddle nose' deformity [cite: 544].
- ❌ **A, B, C:** These forms of leprosy (Tuberculoid or Borderline) involve fewer lesions and typically do not present with significant mucosal/nasal symptoms[cite: 541, 542, 543].

### 3. MEMORY AID (MNEMONIC) 
**'L-L = Large Load'** — **L**epromatous **L**eprosy has a **Large** bacterial **Load** that spills into the nose and causes bleeding. 

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which form of leprosy shows a 'Lion-like' (Leonine) facies?' (Lepromatous Leprosy).
- **Key Connection:** Important for **Dermatology** and **PSM**.",Dermatology|Medicine|haryanamo
84,2024,Auspitz's sign in psoriasis refers to:,Silvery white scales,Clear peripheral zone,Small bleeding points,Lesions at sites of trauma,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct. Auspitz's sign is a clinical finding in Psoriasis where the removal of silvery-white scales results in **pinpoint/small bleeding points**[cite: 545, 548]. This happens because the scales cover thin-topped dilated capillaries in the elongated dermal papillae.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Small bleeding points):** The specific definition of the Auspitz sign [cite: 548].
- ❌ **A (Silvery scales):** While characteristic of psoriasis, the *removal* and subsequent bleeding is the 'sign' [cite: 546].
- ❌ **D (Lesions at trauma):** This refers to the **Koebner phenomenon**, also seen in psoriasis[cite: 549].

### 3. MEMORY AID (MNEMONIC) 
**'Auspitz = All spots'** — You see **All** the little bleeding **spots** when you pick the scale. 

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the Koebner phenomenon?' (Appearance of skin lesions on previously unaffected skin after trauma).
- **Key Connection:** High-yield **Dermatology** classic sign.",Dermatology|haryanamo
85,2024,Pellagra occurs due to deficiency of:,Riboflavin,Folate,Niacin,Thiamine,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct. Pellagra is a systemic disease caused by a deficiency of **Niacin (Vitamin B3)** or its precursor, the amino acid tryptophan [cite: 550, 559].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Niacin):** Deficiency leads to the classic '3Ds' [cite: 559].
- ❌ **A (Riboflavin/B2):** Deficiency causes ariboflavinosis (cheilosis, glossitis) [cite: 551].
- ❌ **B (Folate):** Deficiency causes megaloblastic anemia [cite: 552].
- ❌ **D (Thiamine/B1):** Deficiency causes Beriberi or Wernicke-Korsakoff syndrome[cite: 553].

### 3. MEMORY AID (MNEMONIC) 
**'P-N-3-D'** — **P**ellagra = **N**iacin deficiency = **3 Ds** (Dermatitis, Diarrhea, Dementia) .

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which diet is most commonly associated with Pellagra?' (Maize/Corn-based diets, which are low in available niacin and tryptophan).
- **Key Connection:** Vital for **Nutrition**, **Medicine**, and **PSM**.",Nutrition|Medicine|PSM|haryanamo
86,2024,First line treatment for comedonal acne is:,Topical tretinoin,Oral isotretinoin,Oral antibiotic,Topical clindamycin,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct[cite: 648]. Topical retinoids, such as **Tretinoin**, are the first-line treatment for comedonal acne[cite: 560, 561]. They act as comedolytics by normalizing the desquamation of the follicular epithelium and preventing the formation of new microcomedones.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Topical tretinoin):** The standard of care for non-inflammatory (comedonal) acne [cite: 561, 648].
- ❌ **B (Oral isotretinoin):** Reserved for severe, recalcitrant, or nodulocystic acne due to its significant side effect profile [cite: 575].
- ❌ **C, D (Antibiotics):** Primarily used for *inflammatory* acne to target *C. acnes* bacteria; they are not the primary treatment for simple comedones[cite: 562, 576].

### 3. MEMORY AID (MNEMONIC) 
**'Retinoid for the Root'** — Retinoids (Tretinoin) treat the **Root** cause of comedones (clogged pores).

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is a common side effect of topical tretinoin?' (Skin irritation and photosensitivity).
- **Key Connection:** Vital for **Dermatology** and **Pharmacology** in managing common skin disorders.",Dermatology|Pharmacology|haryanamo
87,2024,What is incubation period for syphilis?,1 month to 2 months,1 to 5 days,9 to 90 days,3 months to 4 months,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 648]. The incubation period for primary syphilis (the time from infection to the appearance of a chancre) is typically **9 to 90 days**, with an average of about 3 weeks (21 days) [cite: 563, 565].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (9 to 90 days):** The established clinical range for the incubation of *Treponema pallidum* [cite: 565, 648].
- ❌ **B (1 to 5 days):** Too short; this range is more characteristic of Gonorrhea or Chancroid.
- ❌ **D (3 to 4 months):** Too long for the primary stage, though secondary syphilis symptoms may appear in this timeframe[cite: 578].

### 3. MEMORY AID (MNEMONIC) 
**'Syphilis-3'** — Think of **3 weeks** (21 days) as the average, falling right in the middle of the **9-90 day** range.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the causative agent of Syphilis?' (*Treponema pallidum*).
- **Key Connection:** Essential for **Microbiology**, **Dermatology**, and **PSM**.",Microbiology|Dermatology|Infectious Disease|haryanamo
88,2024,Identification of DNA is done by:,Northern blotting,Southern blotting,Western blotting,Eastern Blotting,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct[cite: 648]. **Southern blotting** is the specific laboratory technique used for the detection and identification of **DNA** sequences[cite: 566, 579]. It was named after its inventor, Edwin Southern.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Southern blotting):** Used for **DNA** identification [cite: 579, 648].
- ❌ **A (Northern blotting):** Used for the identification of **RNA** [cite: 567].
- ❌ **C (Western blotting):** Used for the identification of **Proteins** (e.g., HIV confirmatory test) [cite: 568].
- ❌ **D (Eastern blotting):** A less common technique used to detect post-translational modifications of proteins [cite: 580].

### 3. MEMORY AID (MNEMONIC) 
**'SNOW DROP'**:
* **S**outhern — **D**NA [cite: 579]
* **N**orthern — **R**NA [cite: 567]
* **O** (nothing) — **O**
* **W**estern — **P**roteins [cite: 568]

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which blot is used as a confirmatory test for HIV?' (Western Blot).
- **Key Connection:** Fundamental for **Biochemistry** and **Molecular Biology**.",Biochemistry|Molecular Biology|haryanamo
89,2024,Nature of endotoxin produced by gram negative bacteria is:,Peptidoglycan,Teichoic acid,Protein,Lipopolysaccharide,D,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option D is correct[cite: 648]. Endotoxins are an integral part of the outer membrane of Gram-negative bacteria and are chemically **Lipopolysaccharides (LPS)**[cite: 569, 581, 583]. They are released primarily when the bacteria lyse.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **D (Lipopolysaccharide):** The Lipid A component is responsible for the toxicity [cite: 583, 648].
- ❌ **A (Peptidoglycan):** The main component of the bacterial cell wall, but not the 'endotoxin' [cite: 570].
- ❌ **B (Teichoic acid):** Found in the cell walls of **Gram-positive** bacteria [cite: 582].
- ❌ **C (Protein):** **Exo**toxins are typically proteins secreted by both Gram-positive and Gram-negative bacteria[cite: 571].

### 3. MEMORY AID (MNEMONIC) 
**'Negative-Lipid'** — Gram-**Negative** bacteria have **Lipid**-based (Lipopolysaccharide) endotoxins.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which part of the LPS molecule is toxic?' (Lipid A).
- **Key Connection:** Vital for **Microbiology** and **Pathology** regarding septic shock.",Microbiology|Pathology|haryanamo
90,2024,Kevorkian sign after death is seen in:,Retina,Vitreous,Cornea,Sclera,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct[cite: 648]. The **Kevorkian sign** (also known as 'cattle-trucking' or segmentation of blood) is an early sign of death seen in the **Retina**[cite: 572, 573]. It occurs due to the cessation of blood flow and the subsequent fragmentation of the blood column in the retinal vessels.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Retina):** The site where vascular segmentation/cattle-trucking is observed ophthalmoscopically [cite: 573, 648].
- ❌ **C (Cornea):** Post-mortem changes here include clouding/opacity [cite: 574].
- ❌ **D (Sclera):** Post-mortem changes include Tache noire (dark spots) [cite: 585].
- ❌ **B (Vitreous):** Used post-mortem primarily for potassium level analysis to determine the time since death[cite: 584].

### 3. MEMORY AID (MNEMONIC) 
**'Kevorkian-Eye-Retina'** — Dr. Kevorkian (associated with the 'Right to Die') and the **Eye** (specifically the **Retina**) reveal the cessation of life.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is Tache noire?' (A dark brown/black triangle on the sclera due to exposure and drying after death).
- **Key Connection:** High-yield for **Forensic Medicine** and **Ophthalmology**.",Forensic Medicine|Ophthalmology|haryanamo
91,2024,Rule of Nine is used to determine,Rigor Mortis,Time since Death,Area of Burns,Age of an Infant,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 592, 648]. Wallace's 'Rule of Nines' is a standardized clinical tool used to estimate the Total Body Surface Area (TBSA) affected by burns[cite: 589, 592]. This estimation is critical for determining fluid resuscitation requirements using formulas like the Parkland formula.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Area of Burns):** Divides the body into sections of 9% (or multiples thereof) to calculate burn severity [cite: 589, 592].
- ❌ **A (Rigor Mortis):** Relates to post-mortem stiffening, not the Rule of Nines [cite: 590].
- ❌ **B (Time since Death):** Determined by changes like Algor, Livor, and Rigor mortis [cite: 591].
- ❌ **D (Age of an Infant):** Estimated using physical milestones or dental/ossification centers[cite: 593].

### 3. MEMORY AID (MNEMONIC) 
**'Nines for Lines'** — We use the number **9** to draw the **Lines** (boundaries) of burned skin areas.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What percentage is assigned to the entire head in an adult according to the Rule of Nines?' (9%).
- **Key Connection:** Essential for **Surgery**, **Emergency Medicine**, and **Forensics**[cite: 589].",Surgery|Forensic Medicine|haryanamo
92,2024,"On autopsy, temporal bone of skull showed two linear fractures which are intersecting. The sequence of trauma to skull resulting fracture is determined on the principle of:",Mc Naughton's rule,Hasse's rule,Puppe's rule,Durham's rule,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 599, 648]. **Puppe's Rule** (also known as Puppe-Werkgartner rule) states that when two bone fractures intersect, the second fracture line will stop at the point where it meets the first pre-existing fracture line[cite: 595, 599]. This allows forensic pathologists to determine the chronological order of multiple impacts to the skull.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Puppe's rule):** The specific rule for determining the sequence of intersecting skull fractures [cite: 596, 599].
- ❌ **A (Mc Naughton's rule):** Relates to the legal definition of insanity [cite: 597].
- ❌ **B (Hasse's rule):** Used to estimate the age of a fetus based on its length [cite: 598].
- ❌ **D (Durham's rule):** Another legal standard for insanity (the product test)[cite: 600].

### 3. MEMORY AID (MNEMONIC) 
**'Puppe = Stop'** — The second fracture line must **Stop** when it hits the first one. 

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What can Puppe's rule help determine in a hit-and-run case?' (The number and sequence of distinct impacts to the head).
- **Key Connection:** High-yield for **Forensic Medicine** autopsy findings[cite: 595].",Forensic Medicine|haryanamo
93,2024,Most effective treatment of Congenital Obstruction of Nasolacrimal duct is:,Dacryocystectomy,Lacrimal sac massage,Dacryocystorhinostomy,Antibiotic eyedrops,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct[cite: 604, 648]. For Congenital Nasolacrimal Duct Obstruction (CNLDO), the initial and most effective conservative treatment is **Crigler's lacrimal sac massage**[cite: 602, 604]. This increases hydrostatic pressure to rupture the membrane (Valve of Hasner) at the lower end of the duct.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Massage):** Effective in over 90% of cases if performed correctly during the first year of life [cite: 604].
- ❌ **C (DCR):** A surgical procedure typically reserved for older children (usually after 3-4 years) if conservative management and probing fail [cite: 605].
- ❌ **A (Dacryocystectomy):** Removal of the sac; rarely done in congenital cases [cite: 603].
- ❌ **D (Antibiotics):** Treat secondary infection (dacryocystitis) but do not solve the underlying obstruction[cite: 606].
- ❌ **Note:** If massage fails, 'Probing' is the next step between 12-18 months of age.

### 3. MEMORY AID (MNEMONIC) 
**'M for Management'** — **M**assage is the first-line **M**anagement for a baby's blocked duct.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common site of congenital nasolacrimal duct obstruction?' (The Valve of Hasner).
- **Key Connection:** Important for **Ophthalmology** and **Pediatrics**[cite: 602].",Ophthalmology|Pediatrics|haryanamo
94,2024,Munson sign is a sign of:,Band keratopathy,Phthisis bulbi,Keratoconus,Anterior Sclerosis,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 611, 648]. **Munson's sign** is observed in advanced **Keratoconus**[cite: 608, 611]. It is a V-shaped indentation of the lower eyelid when the patient looks downward, caused by the cone-shaped cornea pressing into the lid.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Keratoconus):** A progressive thinning and protrusion of the cornea [cite: 608, 611].
- ❌ **A (Band keratopathy):** Calcium deposits in the cornea, associated with chronic inflammation [cite: 609].
- ❌ **B (Phthisis bulbi):** A shrunken, non-functional eye [cite: 610].
- ❌ **D (Anterior Sclerosis):** Inflammation of the sclera[cite: 612].

### 3. MEMORY AID (MNEMONIC) 
**'M-K'** — **M**unson is for **K**eratoconus. Also, think of the **'V'** in Munson (the 'n's) as the **V**-sign on the lid.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is Fleischer's ring?' (An iron deposit ring at the base of the cone in Keratoconus).
- **Key Connection:** High-yield **Ophthalmology** clinical sign[cite: 608].",Ophthalmology|haryanamo
95,2024,Cherry red spot can be seen as a fundus finding in:,Central retinal vein occlusion,Diabetic maculopathy,Hypertensive retinopathy,Central retinal artery occlusion,D,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option D is correct[cite: 617, 648]. A **Cherry-red spot** at the fovea is the classic funduscopic hallmark of **Central Retinal Artery Occlusion (CRAO)**[cite: 613, 617]. It occurs because the thin fovea allows the underlying red choroid to show through, while the surrounding retina becomes pale and edematous due to ischemia.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **D (CRAO):** Characterized by sudden painless loss of vision and a cherry-red spot [cite: 617].
- ❌ **A (CRVO):** Characterized by a 'Blood and Thunder' fundus (diffuse hemorrhages) [cite: 614].
- ❌ **B (Diabetic maculopathy):** Shows exudates and edema, not a cherry-red spot [cite: 615].
- ❌ **C (Hypertensive retinopathy):** Shows silver-wiring, A-V nicking, and cotton-wool spots[cite: 616].

### 3. MEMORY AID (MNEMONIC) 
**'Artery = Red'** — Central Retinal **Artery** Occlusion gives the Cherry-**Red** spot.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which metabolic storage diseases also show a cherry-red spot?' (Tay-Sachs disease and Niemann-Pick disease).
- **Key Connection:** Essential for **Ophthalmology** and **Medicine** emergency diagnosis[cite: 613].",Ophthalmology|Medicine|haryanamo
96,2024,The fastest acting cycloplegic drug is:,Cyclopentolate,Atropine,Tropicamide,Homatropine,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 648]. [cite_start]Tropicamide is the fastest-acting cycloplegic and mydriatic agent available[cite: 619]. [cite_start]It reaches its peak effect within 20–30 minutes, making it ideal for routine fundus examinations in the OPD [cite: 622][cite_start].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Tropicamide):** Peak action in 20–30 mins; duration of action is short (4–6 hours) [cite: 622][cite_start].
- ❌ **A (Cyclopentolate):** Peak action in 30–60 mins; duration is about 24 hours [cite: 620][cite_start].
- ❌ **B (Atropine):** The most potent but slowest; peak action takes hours/days and effects last 7–10 days [cite: 621][cite_start].
- ❌ **D (Homatropine):** Intermediate acting; duration is 1–2 days[cite: 623].

### 3. MEMORY AID (MNEMONIC) 
**'T-for-Turbo'** — **T**ropicamide is the **Turbo** (fastest) drug for a quick eye exam.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which cycloplegic is preferred for refraction in children?' (Atropine or Cyclopentolate, as they have stronger cycloplegic power than Tropicamide).
- **Key Connection:** Essential for **Ophthalmology** and **Pharmacology** clinical practice.",Ophthalmology|Pharmacology|haryanamo
97,2024,Which of the following is NOT a conjunctival gland?,Glands of Krause,Goblet Cells,Glands of Moll,Glands of Manz,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 648]. [cite_start]The **Glands of Moll** are modified sweat glands located at the margin of the eyelids (ciliary glands), not in the conjunctiva [cite: 628][cite_start].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Glands of Moll):** Located in the eyelid margin [cite: 628][cite_start].
- ❌ **A (Glands of Krause):** Accessory lacrimal glands located in the conjunctival fornix [cite: 625][cite_start].
- ❌ **B (Goblet Cells):** Unicellular glands in the conjunctival epithelium that secrete mucin [cite: 627][cite_start].
- ❌ **D (Glands of Manz):** Accessory glands found in the limbal conjunctiva[cite: 629].

### 3. MEMORY AID (MNEMONIC) 
**'Moll = Margin'** — Glands of **Moll** are on the **Margin** of the lid, not the conjunctiva.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Infection of the Glands of Moll/Zeis leads to what condition?' (External Hordeolum or Stye).
- **Key Connection:** Important for **Ophthalmology** and **Anatomy**.",Ophthalmology|Anatomy|haryanamo
98,2024,Flamingo sign is seen in:,Otospongiosis,Otitis Media with effusion,Glomus tumour,Otitis externa,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 648]. [cite_start]The **Flamingo-pink sign** (also known as Rising Sun sign) is a classic otoscopic finding in a **Glomus Jugulare or Glomus Tympanicum tumour**[cite: 634]. [cite_start]It represents the vascular mass seen behind the intact tympanic membrane [cite: 631][cite_start].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Glomus tumour):** Reddish-pink vascular mass behind the drum [cite: 634][cite_start].
- ❌ **A (Otospongiosis):** Shows **Schwartz's sign** (a pinkish flush on the promontory), not the Flamingo sign [cite: 632][cite_start].
- ❌ **B (OME):** Shows an amber-colored drum with fluid levels or bubbles [cite: 633][cite_start].
- ❌ **D (Otitis externa):** Involves inflammation of the external canal skin[cite: 635].

### 3. MEMORY AID (MNEMONIC) 
**'G-F'** — **G**lomus tumours look like a pink **F**lamingo behind the glass (eardrum).

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the characteristic symptom of a Glomus tumour?' (Pulsatile tinnitus).
- **Key Connection:** High-yield for **ENT** clinical diagnostics.",ENT|haryanamo
99,2024,Holman-Miller sign is:,Anterior bowing of the posterior wall of maxilla,Posterior bowing of the anterior wall of maxilla,Lateral bowing of the medial wall of maxilla,Medial bowing of the medial wall of maxilla,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct[cite: 648]. [cite_start]The **Holman-Miller sign** (Antral sign) is a radiological pathognomonic sign for **Juvenile Nasopharyngeal Angiofibroma (JNA)**[cite: 637]. [cite_start]It is the **anterior bowing of the posterior wall of the maxillary sinus** seen on a lateral X-ray or CT scan [cite: 638][cite_start].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Anterior bowing):** Caused by the tumor mass pushing forward from the pterygopalatine fossa[cite: 638].
- ❌ **B, C, D:** These do not describe the Holman-Miller sign.

### 3. MEMORY AID (MNEMONIC) 
**'J-A-M'** — **J**NA causes **A**ntral bowing (**M**iller sign).

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the classic clinical presentation of JNA?' (Adolescent male with profuse, recurrent epistaxis and nasal obstruction).
- **Key Connection:** Vital for **ENT** and **Radiology**.",ENT|Radiology|haryanamo
100,2024,Intrinsic muscles of larynx are supplied by recurrent laryngeal nerve Except:,Interarytenoid,Posterior cricoarytenoid,Cricothyroid,Thyroarytenoid,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 648]. [cite_start]All intrinsic muscles of the larynx are supplied by the **Recurrent Laryngeal Nerve (RLN)** except for the **Cricothyroid muscle**, which is supplied by the **External Laryngeal Nerve** (a branch of the Superior Laryngeal Nerve) [cite: 642, 643][cite_start].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Cricothyroid):** Supplied by the External Laryngeal Nerve [cite: 643][cite_start].
- ❌ **A, B, D:** All are supplied by the RLN[cite: 642, 644].

### 3. MEMORY AID (MNEMONIC) 
**'C-E-S'** — **C**ricothyroid is supplied by the **E**xternal branch of the **S**uperior laryngeal nerve.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which muscle is the only abductor of the vocal cords?' (Posterior cricoarytenoid - the 'safety muscle').
- **Key Connection:** Fundamental **Anatomy** and **ENT** concept.",Anatomy|ENT|haryanamo
1,2022,Which among the following is the most common site where appendix is found during appendicectomy?,,,,,b,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option b is correct[cite: 346]. The retrocaecal position is the most common anatomical variation of the vermiform appendix, occurring in approximately 65% of individuals. In this position, the appendix lies behind the caecum.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **b (Retro-caecal):** The most frequent site (~65%) [cite: 53].
- ❌ **a (Retro-ileal):** Less common than retrocaecal or pelvic positions [cite: 51].
- ❌ **d (Anterior to terminal ileum):** Also known as the pre-ileal position; relatively rare [cite: 54].
- ❌ **c (Ectopic):** Refers to unusual locations like the subhepatic or left-sided appendix; not a 'common' site[cite: 52].

### 3. MEMORY AID (MNEMONIC) 
**'R-P-P'** (Order of frequency) — **R**etrocaecal (65%) > **P**elvic (30%) > **P**re-ileal/Post-ileal.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which position of the appendix is most likely to result in a positive Psoas sign?' (Retrocaecal position).
- **Key Connection:** Important for **Surgery** during clinical diagnosis and surgical approach for appendicectomy.",Surgery|Anatomy|haryanamo
2,2022,An injury to which of the following nerve leads to 'winging of scapula'?,,,,,b,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option b is correct[cite: 346]. Winging of the scapula is caused by paralysis of the **Serratus anterior muscle**, which is innervated by the **Long thoracic nerve** (Nerve of Bell)[cite: 59, 60]. When this nerve is injured, the medial border of the scapula protrudes posteriorly like a wing when the patient pushes against a wall.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **b (Long thoracic nerve):** Arises from C5, C6, C7; supplies the Serratus anterior [cite: 60].
- ❌ **a (Ulnar nerve):** Injury leads to 'Claw Hand' [cite: 56].
- ❌ **d (Median nerve):** Injury leads to 'Ape Hand' deformity or carpal tunnel symptoms [cite: 61].
- ❌ **c (Phrenic nerve):** Supplies the diaphragm; injury leads to diaphragmatic paralysis[cite: 57].

### 3. MEMORY AID (MNEMONIC) 
**'C5-6-7 reach for heaven'** — The roots of the **Long thoracic nerve**. 

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which surgery most commonly risks injury to the long thoracic nerve?' (Axillary lymph node dissection during mastectomy).
- **Key Connection:** High-yield for **Orthopaedics** and **Anatomy**.",Orthopaedics|Anatomy|haryanamo
3,2022,Which of the following structure serves as the 'anatomical landmark' for the pudendal nerve block?,,,,,c,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option c is correct[cite: 346]. The **Ischial spine** is the critical anatomical landmark for performing a pudendal nerve block[cite: 62, 65]. The nerve crosses the sacrospinous ligament just medial to the ischial spine before entering the pudendal (Alcock's) canal.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **c (Ischial spine):** The needle is directed toward this point transvaginally to anesthetize the perineum during delivery [cite: 65].
- ❌ **a (Ischial tuberosity):** The origin of hamstring muscles; not the target for this block [cite: 64].
- ❌ **b (Pubic tubercle):** Landmark for inguinal hernias and femoral artery [cite: 66].
- ❌ **d (ASIS):** Used for measuring leg length and identifying the inguinal ligament[cite: 67].

### 3. MEMORY AID (MNEMONIC) 
**'S-S-S'** — **S**pine (Ischial) is the **S**pot for **S**acrospinous block (Pudendal). 

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which nerve provides sensory innervation to the perineum?' (Pudendal nerve).
- **Key Connection:** Vital for **Obstetrics** during the second stage of labor.",Anatomy|Obstetrics|haryanamo
4,2022,Which of the following nerve divides the parotid gland surgically into superficial and deep parts?,,,,,c,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option c is correct[cite: 346]. The **Facial nerve (CN VII)** passes through the parotid gland and surgically divides it into a superficial lobe and a deep lobe[cite: 69, 71]. The plane between these lobes is called the 'Patey's Plane'.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **c (Seventh cranial nerve):** Branches into the 'Pes Anserinus' within the gland [cite: 71].
- ❌ **a (Fifth cranial nerve):** Trigeminal nerve; provides sensory innervation to the face [cite: 70].
- ❌ **b (Sixth cranial nerve):** Abducens nerve; controls the lateral rectus muscle [cite: 72].
- ❌ **d (Eighth cranial nerve):** Vestibulocochlear nerve; responsible for hearing and balance[cite: 73].

### 3. MEMORY AID (MNEMONIC) 
**'Seven in the Sandwich'** — The **7th** nerve is the filling in the parotid gland **Sandwich** (dividing superficial and deep).

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common tumor of the parotid gland?' (Pleomorphic adenoma).
- **Key Connection:** Essential for **ENT** and **Surgery** during parotidectomy to avoid facial palsy.",Anatomy|Surgery|ENT|haryanamo
5,2022,Carbon dioxide retention is rarely a problem in a patient with alveolar fibrosis because:,,,,,a,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option a is correct[cite: 346]. Carbon dioxide ($CO_2$) is approximately 20 to 25 times more soluble and diffusible than Oxygen ($O_2$) across the alveolar-capillary membrane[cite: 76, 77]. Therefore, even in fibrosis where the membrane is thickened, $CO_2$ can still escape easily while $O_2$ levels drop.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **a (CO2 diffusion > O2 diffusion):** Due to high solubility, $CO_2$ does not retain until end-stage lung destruction[cite: 77].
- ❌ **b (O2 diffusion > CO2 diffusion):** Physiologically incorrect; $O_2$ diffusion is much slower[cite: 78].
- ❌ **c (CO2 passes with difficulty):** Incorrect; $CO_2$ passes with extreme ease [cite: 79].
- ❌ **d (pCO2 46 mmHg):** This is a true physiological value but doesn't explain why retention is rare in fibrosis[cite: 79].

### 3. MEMORY AID (MNEMONIC) 
**'CO-Two is Too-Fast'** — **CO2** diffuses much faster than oxygen.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the primary blood gas abnormality in early interstitial lung disease?' (Hypoxemia with normocapnia or hypocapnia).
- **Key Connection:** Central concept in **Physiology** and **Pulmonology**.",Physiology|Pulmonology|haryanamo
